T2,Name,RAJ2000_Disks,DEJ2000_Disks,Flux,e_Flux,Mass,e_Mass,recno,detection,RAJ2000_Megeath,DEJ2000_Megeath,Seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,__3_6_,e__3_6_,__4_5_,e__4_5_,__5_8_,e__5_8_,__8_0_,e__8_0_,__24_,e__24_,AKs,alpha,Cl,_2M,Simbad,RA,DE,Internal_ID,main_id,otype,otypes,ra_simbad,dec_simbad,multiple_counterpars,sep2simbad,massive_star,ms_contaminant,giant_label,giant_prob,extragalactic_label,extragalactic_prob,alpha_2_24,intercept_2_24,class_2_24,EW_Li,e_EW_Li,f_EW_Li,li_ref,EW_Li_,e_EW_Li_,f_EW_Li_,li_ref_,Ha_ID,HaRA,HaDE,HaID,Ha_ref,EW_Ha,e_EW_Ha,f_EW_Ha,_EW_Ha,_e_EW_Ha,_f_EW_Ha,e_up_EW_Ha,e_low_EW_Ha,Ha_line_flag,Ha_comment,W10_Ha,e_W10_Ha,e_up_W10_Ha,e_low_W10_Ha,f_W10_Ha,W10_HA_comment,EW_Ha_PHOT,e_EW_Ha_PHOT,Ha_sep,s_sep,s_ref,veiling_ropt,e_veiling_ropt,f_veiling_ropt,comment_veiling_ropt,veiling_rk,e_veiling_rk,f_veiling_rk,comment_veiling_rk,E_rk_1_CG2010,e_low_veiling_rk,veiling_rh,e_veiling_rh,f_veiling_rh,comment_veiling_rh,veiling_r7465,e_veiling_r7465,f_veiling_r7465,comment_veiling_r7465
*,"IRC067 ",85.43804,-1.913111,37.1,0.18,190.9,0.91,3,detected,85.43804,-1.9130833,2954,15.41,0.14,11.81,0.07,9.61,0.04,7.74,0.01,6.85,0.01,6.04,0.01,5.08,0.02,0.0,0.0,2.31,0.2,"P ",2M,Simbad,85.43804167,-1.913083333,8706,[BCB89] IRS 20,Y*O,*|IR|NIR|X|Y*?|Y*O,85.43802917,-1.913080556,,0.046072977,false,false,false,,false,,0.437952351,-9.975296261,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.863,0.126,,,,,,
,"IRC215 ",85.401,-1.906778,13.0,0.15,67.2,0.77,7,detected,85.40092,-1.9066944,2966,12.38,0.03,10.28,0.02,8.89,0.02,7.43,0.01,6.87,0.01,6.43,0.01,5.74,0.01,0.0,0.0,0.98,-0.91,"D ",2M,Simbad,85.40091667,-1.906694444,8718,[BCB89] IRS 18,Y*O,*|IR|NIR|Rad|X|Y*O,85.40099876,-1.906763209,,0.385402383,false,false,false,,false,,0.086034416,-9.80971471,flat,,,,,,,,,23344,,,,2023A%26A...674A..26C,-8.621348,0.73368144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC036 ",85.43408,-1.922361,12.2,0.38,63.0,1.96,8,detected,85.43408,-1.9222778,2941,0.0,0.0,0.0,0.0,11.86,0.08,7.53,0.01,6.34,0.01,5.29,0.01,4.49,0.01,0.0,0.0,0.0,0.64,"P ",2M,Simbad,85.43408333,-1.922277778,8693,[PSA97] 2024-8,Y*O,Y*O,85.43375,-1.922222222,3,1.215886549,false,false,false,,false,,2.538246139,-11.31007866,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,"IRC133 ",85.42729,-1.900861,10.9,0.14,56.3,0.72,9,detected,85.42729,-1.9007221,2982,16.87,0.16,13.63,0.08,11.79,0.04,9.9,0.01,9.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,"D ",2M,Simbad,85.42729167,-1.900722222,8732,2MASS J05414254-0154028,Y*O,*|NIR|Y*O,85.427252,-1.900803,,0.323935968,false,false,false,,false,,0.637044686,-11.00025879,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC128 ",85.43779,-1.901806,10.5,0.17,54.1,0.9,10,detected,85.43775,-1.9017222,2979,0.0,0.0,13.23,0.02,10.34,0.02,7.93,0.01,7.04,0.01,6.56,0.01,6.23,0.03,0.0,0.0,3.78,-0.94,"D ",2M,Simbad,85.43775,-1.901722222,8729,Cl* NGC 2024    HLP      74,Y*O,*|NIR|X|Y*O,85.43775,-1.90175,,0.1000008,false,false,false,,false,,0.101295555,-10.01153114,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC033 ",85.43504,-1.923083,10.0,0.43,51.5,2.23,11,detected,85.43513,-1.9230278,2940,13.66,0.04,11.34,0.04,9.81,0.04,8.5,0.02,7.9,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,"D ",2M,Simbad,85.435,-1.923062,12901,[BCB89] IRS  3,Y*O,*|IR|NIR|X|Y*O,85.43501879,-1.923081951,4,0.098635745,false,false,false,,false,,0.058283406,-10.20374214,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.374,0.0364,,,,,,
,"IRC123 ",85.4235,-1.903444,7.8,0.14,40.4,0.71,14,detected,85.42354,-1.9034168,2974,0.0,0.0,13.51,0.07,11.5,0.03,9.32,0.01,8.56,0.01,7.99,0.03,0.0,0.0,0.0,0.0,2.1,0.0,"D ",2M,Simbad,85.42354167,-1.903416667,8724,2MASS J05414167-0154128,Y*O,*|NIR|X|Y*O,85.423625,-1.903555556,,0.58300284,false,false,false,,false,,0.61382927,-10.73474471,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC197 ",85.431206,-1.890194,6.8,0.14,35.3,0.74,16,detected,85.43112,-1.8904444,3005,16.4,0.17,13.42,0.11,11.54,0.07,9.78,0.01,8.88,0.01,7.99,0.02,6.72,0.03,0.0,0.0,1.75,0.66,"P ",2M,Simbad,85.431125,-1.890444444,8755,2MASS J05414349-0153247,Y*O,*|NIR|X|Y*O,85.431221,-1.8902,,0.945360557,false,false,false,,false,,0.748148388,-10.95479864,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC180 ",85.41746,-1.892833,5.7,0.15,29.1,0.75,18,detected,85.41742,-1.8928056,2998,15.06,0.06,11.86,0.06,9.86,0.03,8.14,0.01,7.43,0.01,6.91,0.02,0.0,0.0,0.0,0.0,1.94,0.0,"D ",2M,Simbad,85.41741667,-1.892805556,8748,[BCB89] IRS  8,Y*O,*|IR|NIR|X|Y*O,85.41733333,-1.892888889,3,0.424147202,false,false,false,,false,,-0.104857152,-9.859733283,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,1.89,0.282,,,,,,
,"IRC150 ",85.433,-1.897639,2.9,0.14,15.0,0.73,25,detected,85.43296,-1.8975832,2989,17.0,0.18,14.79,0.05,13.26,0.02,11.41,0.02,10.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,"P ",2M,Simbad,85.43295833,-1.897583333,8739,2MASS J05414391-0153512,Y*O,*|NIR|Y*?|Y*O,85.43298,-1.897581,,0.078408347,false,false,false,,false,,0.677063737,-11.57650752,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC144 ",85.40342,-1.899722,2.8,0.14,14.5,0.73,27,detected,85.40329,-1.8996667,2984,12.44,0.03,10.73,0.03,9.89,0.04,9.14,0.01,8.61,0.01,8.12,0.02,7.27,0.05,0.0,0.0,0.89,-0.7,"D ",2M,Simbad,85.40329167,-1.899666667,8734,[BCB89] IRS 16,Y*O,*|IR|NIR|X|Y*O,85.40342274,-1.899743655,,0.547004233,false,false,false,,false,,-0.550966903,-9.973716642,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC184 ",85.422295,-1.892444,2.6,0.14,13.4,0.74,29,detected,85.42225,-1.8924721,3000,0.0,0.0,14.26,0.02,11.09,0.02,9.09,0.01,8.48,0.01,8.18,0.02,0.0,0.0,0.0,0.0,5.34,0.0,"D ",2M,Simbad,85.42225,-1.892472222,8750,2MASS J05414134-0153326,Y*O,*|NIR|Rad|X|Y*O,85.42230193,-1.892455261,,0.196567519,false,false,false,,false,,0.114813177,-10.43942823,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC120 ",85.41333,-1.903972,2.6,0.14,13.2,0.72,30,detected,85.41317,-1.9039167,2973,14.09,0.03,11.18,0.03,9.36,0.02,7.71,0.01,7.0,0.01,6.38,0.01,5.8,0.01,0.0,0.0,1.71,-0.65,"D ",2M,Simbad,85.413285,-1.903959,5236,[BCB89] IRS 13,Y*O,*|IR|NIR|X|Y*O,85.413305,-1.903909,,0.193851174,false,false,false,,false,,-0.207672926,-9.643738636,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.404,0.0403,,,,,,
,"IRC143 ",85.4315,-1.899111,2.2,0.14,11.3,0.72,32,detected,85.43142,-1.899,2988,0.0,0.0,15.28,0.07,12.48,0.02,10.31,0.02,9.51,0.01,0.0,0.0,0.0,0.0,0.0,0.0,3.84,0.0,"D ",2M,Simbad,85.43141667,-1.899,8738,2MASS J05414356-0153567,Y*O,NIR|Rad|X|Y*O,85.4315,-1.899083333,,0.424147575,false,false,false,,false,,0.998278689,-11.3506825,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC103 ",85.42492,-1.906722,1.7,0.14,9.0,0.7,36,detected,85.42492,-1.9066668,2967,15.23,0.09,12.2,0.05,10.4,0.03,8.45,0.01,7.73,0.01,7.25,0.01,6.88,0.03,0.0,0.0,1.87,-1.06,"D ",2M,Simbad,85.42491667,-1.906666667,8719,Cl* NGC 2024    HLL      78,Y*O,*|NIR|X|Y*O,85.424923,-1.906667,,0.022818888,false,false,false,,false,,-1.05733099,-9.407625661,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC121 ",85.43108,-1.903444,1.0,0.14,5.1,0.71,44,detected,85.431,-1.9033611,2975,0.0,0.0,15.43,0.13,11.72,0.02,8.36,0.01,7.14,0.01,6.2,0.01,5.34,0.01,0.0,0.0,4.68,0.6,"P ",2M,Simbad,85.431,-1.903361111,8725,2MASS J05414344-0154122,Y*O,NIR|Y*O,85.431034,-1.903406,,0.202681824,false,false,false,,false,,1.850879172,-11.13875297,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC131 ",85.434296,-1.901444,1.0,0.14,5.1,0.72,45,detected,85.434166,-1.9013611,2981,0.0,0.0,14.85,0.04,12.27,0.02,9.68,0.01,8.91,0.01,7.95,0.04,0.0,0.0,0.0,0.0,3.43,0.0,"P ",2M,Simbad,85.43416667,-1.901361111,8731,2MASS J05414422-0154051,Y*O,NIR|X|Y*O,85.43429167,-1.901416667,,0.492216653,false,false,false,,false,,1.250340441,-11.31422438,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC025 ",85.42725,-1.927111,0.8,0.13,4.2,0.65,48,detected,85.42725,-1.927,2936,0.0,0.0,15.32,0.08,12.66,0.04,10.0,0.02,9.38,0.02,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,"D ",2M,Simbad,85.42725,-1.927,8688,2MASS J05414252-0155372,Y*O,NIR|Y*O,85.427207,-1.927017,,0.166377235,false,false,false,,false,,1.668160185,-11.71959361,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC083 ",85.422874,-1.910944,0.7,0.13,3.5,0.69,50,detected,85.42292,-1.9108889,2958,16.13,0.09,12.79,0.06,10.92,0.05,9.17,0.01,8.46,0.01,7.71,0.01,0.0,0.0,0.0,0.0,2.21,0.0,"P ",2M,Simbad,85.42291667,-1.910888889,8710,[MGM2012] 2957,Y*O,Y*O,85.423375,-1.911194444,3,1.982289458,false,false,false,,false,,-0.058912766,-10.366146,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC099 ",85.43679,-1.907028,0.6,0.15,3.3,0.78,52,detected,85.43679,-1.9070278,2964,13.46,0.04,10.52,0.04,8.89,0.03,7.2,0.01,6.42,0.01,5.72,0.01,5.23,0.04,0.0,0.0,1.89,-0.56,"D ",2M,Simbad,85.43679167,-1.907027778,8716,2MASS J05414482-0154251,Y*O,*|NIR|Rad|X|Y*O,85.43675,-1.906972222,,0.249950803,false,false,false,,false,,-0.137944863,-9.458019537,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC173 ",85.403915,-1.894306,0.6,0.15,2.9,0.75,55,detected,85.403915,-1.8942223,2994,14.47,0.04,12.7,0.02,11.58,0.02,10.36,0.01,9.85,0.01,9.3,0.04,0.0,0.0,0.0,0.0,0.78,0.0,"D ",2M,Simbad,85.40391667,-1.894222222,8744,2MASS J05413693-0153393,Y*O,*|NIR|X|Y*O,85.40393248,-1.894298231,,0.279482069,false,false,false,,false,,-0.002606753,-10.75722223,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC070 ",85.40346,-1.913361,0.6,0.13,2.8,0.69,56,detected,85.40337,-1.9133888,2953,14.46,0.07,12.75,0.06,11.8,0.04,10.82,0.01,10.36,0.01,9.74,0.03,0.0,0.0,0.0,0.0,0.82,0.0,"D ",2M,Simbad,85.403375,-1.913388889,8705,2MASS J05413682-0154479,Y*O,*|NIR|X|Y*O,85.40348268,-1.913366124,,0.395991052,false,false,false,,false,,-0.255207257,-10.76948403,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRC045 ",85.425835,-1.919472,0.5,0.14,2.5,0.7,57,detected,85.425705,-1.9195,2946,12.87,0.03,11.32,0.03,10.58,0.02,9.54,0.01,9.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,"D ",2M,Simbad,85.42570833,-1.9195,8698,2MASS J05414220-0155099,Y*O,*|NIR|X|Y*O,85.42585218,-1.919467695,,0.530456438,false,false,false,,false,,0.554867412,-10.65890986,0/I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019AJ....157..196K,,,,,,,,,,,0.639,0.0454,,,,,,
